2024-11-02 22:40:54 | INFO     | quartofetch.logging_config:wrapper:82 | ═════════════════════════ STAGE: Configuration Loading ═════════════════════════
2024-11-02 22:40:54 | INFO     | quartofetch.logging_config:wrapper:90 | ════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:40:54 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Configuration
2024-11-02 22:40:54 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Processing
2024-11-02 22:40:54 | INFO     | quartofetch.logging_config:wrapper:82  | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:40:54 | INFO     | quartofetch.paper_manager:process:73   | 📑 Processing paper: 2022-03-16_JASAEL-HowToAnalyseQuantitativeSoundscapeData
2024-11-02 22:40:54 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Validation
2024-11-02 22:40:54 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:40:55 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: a9f5077d891d5a64816dc18844fbf12e2a2b9dae)
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:82           | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:40:55 | INFO     | quartofetch.paper_manager:process:73            | 📑 Processing paper: 2024-10-30_JASA1112_SPI
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Paper Validation
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:40:55 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: 92d7e82ca139a56def4607a35b14ce6dd1202bdb)
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Results Summary
2024-11-02 22:40:55 | INFO     | quartofetch.cli:_log_results:114                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:40:55 | SUCCESS  | quartofetch.cli:_log_results:116                | ✅ All papers processed successfully (2/2)
2024-11-02 22:40:55 | INFO     | quartofetch.cli:_log_results:127                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:40:55 | INFO     | quartofetch.cli:run:140 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:40:55 | SUCCESS  | quartofetch.cli:run:141 | 🚀 Quarto FETCH
2024-11-02 22:40:55 | INFO     | quartofetch.cli:run:142 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:82 | ═════════════════════════ STAGE: Configuration Loading ═════════════════════════
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:90 | ════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Configuration
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Processing
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:82  | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:40:55 | INFO     | quartofetch.paper_manager:process:73   | 📑 Processing paper: 2022-03-16_JASAEL-HowToAnalyseQuantitativeSoundscapeData
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Validation
2024-11-02 22:40:55 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:40:56 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:40:56 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: a9f5077d891d5a64816dc18844fbf12e2a2b9dae)
2024-11-02 22:40:56 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:40:56 | INFO     | quartofetch.logging_config:wrapper:82           | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:40:56 | INFO     | quartofetch.paper_manager:process:73            | 📑 Processing paper: 2024-10-30_JASA1112_SPI
2024-11-02 22:40:56 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Paper Validation
2024-11-02 22:40:56 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:40:56 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:40:56 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: 92d7e82ca139a56def4607a35b14ce6dd1202bdb)
2024-11-02 22:40:56 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:40:56 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Results Summary
2024-11-02 22:40:56 | INFO     | quartofetch.cli:_log_results:114                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:40:56 | SUCCESS  | quartofetch.cli:_log_results:116                | ✅ All papers processed successfully (2/2)
2024-11-02 22:40:56 | INFO     | quartofetch.cli:_log_results:127                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:47:54 | INFO     | quartofetch.cli:run:140 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:47:54 | SUCCESS  | quartofetch.cli:run:141 | 🚀 Quarto FETCH
2024-11-02 22:47:54 | INFO     | quartofetch.cli:run:142 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:82 | ═════════════════════════ STAGE: Configuration Loading ═════════════════════════
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:90 | ════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Configuration
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Processing
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:82  | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:47:54 | INFO     | quartofetch.paper_manager:process:73   | 📑 Processing paper: 2022-03-16_JASAEL-HowToAnalyseQuantitativeSoundscapeData
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Validation
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:47:54 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: a9f5077d891d5a64816dc18844fbf12e2a2b9dae)
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:82           | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:47:54 | INFO     | quartofetch.paper_manager:process:73            | 📑 Processing paper: 2024-10-30_JASA1112_SPI
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Paper Validation
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:47:54 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: 92d7e82ca139a56def4607a35b14ce6dd1202bdb)
2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:47:54 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Results Summary
2024-11-02 22:47:54 | INFO     | quartofetch.cli:_log_results:114                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:47:54 | SUCCESS  | quartofetch.cli:_log_results:116                | ✅ All papers processed successfully (2/2)
2024-11-02 22:47:54 | INFO     | quartofetch.cli:_log_results:127                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:25 | INFO     | quartofetch.cli:run:140 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:25 | SUCCESS  | quartofetch.cli:run:141 | 🚀 Quarto FETCH
2024-11-02 22:48:25 | INFO     | quartofetch.cli:run:142 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:82 | ═════════════════════════ STAGE: Configuration Loading ═════════════════════════
2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:90 | ════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Configuration
2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Processing
2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:82  | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:48:25 | INFO     | quartofetch.paper_manager:process:73   | 📑 Processing paper: 2022-03-16_JASAEL-HowToAnalyseQuantitativeSoundscapeData
2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Validation
2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:48:25 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: a9f5077d891d5a64816dc18844fbf12e2a2b9dae)
2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:82           | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:48:25 | INFO     | quartofetch.paper_manager:process:73            | 📑 Processing paper: 2024-10-30_JASA1112_SPI
2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Paper Validation
2024-11-02 22:48:25 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:48:26 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:48:26 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: 92d7e82ca139a56def4607a35b14ce6dd1202bdb)
2024-11-02 22:48:26 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:48:26 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Results Summary
2024-11-02 22:48:26 | INFO     | quartofetch.cli:_log_results:114                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:26 | SUCCESS  | quartofetch.cli:_log_results:116                | ✅ All papers processed successfully (2/2)
2024-11-02 22:48:26 | INFO     | quartofetch.cli:_log_results:127                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:30 | INFO     | quartofetch.cli:run:140 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:30 | SUCCESS  | quartofetch.cli:run:141 | 🚀 Quarto FETCH
2024-11-02 22:48:30 | INFO     | quartofetch.cli:run:142 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:82 | ═════════════════════════ STAGE: Configuration Loading ═════════════════════════
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:90 | ════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Configuration
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Processing
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:82  | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:48:30 | INFO     | quartofetch.paper_manager:process:73   | 📑 Processing paper: 2022-03-16_JASAEL-HowToAnalyseQuantitativeSoundscapeData
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Validation
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:48:30 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: a9f5077d891d5a64816dc18844fbf12e2a2b9dae)
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:82           | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:48:30 | INFO     | quartofetch.paper_manager:process:73            | 📑 Processing paper: 2024-10-30_JASA1112_SPI
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Paper Validation
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:48:30 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: 92d7e82ca139a56def4607a35b14ce6dd1202bdb)
2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:48:30 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Results Summary
2024-11-02 22:48:30 | INFO     | quartofetch.cli:_log_results:114                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:30 | SUCCESS  | quartofetch.cli:_log_results:116                | ✅ All papers processed successfully (2/2)
2024-11-02 22:48:30 | INFO     | quartofetch.cli:_log_results:127                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:31 | INFO     | quartofetch.cli:run:140 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:31 | SUCCESS  | quartofetch.cli:run:141 | 🚀 Quarto FETCH
2024-11-02 22:48:31 | INFO     | quartofetch.cli:run:142 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:82 | ═════════════════════════ STAGE: Configuration Loading ═════════════════════════
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:90 | ════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Configuration
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Processing
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:82  | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:48:31 | INFO     | quartofetch.paper_manager:process:73   | 📑 Processing paper: 2022-03-16_JASAEL-HowToAnalyseQuantitativeSoundscapeData
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Validation
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:48:31 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: a9f5077d891d5a64816dc18844fbf12e2a2b9dae)
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:82           | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:48:31 | INFO     | quartofetch.paper_manager:process:73            | 📑 Processing paper: 2024-10-30_JASA1112_SPI
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Paper Validation
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:48:31 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: 92d7e82ca139a56def4607a35b14ce6dd1202bdb)
2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:48:31 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Results Summary
2024-11-02 22:48:31 | INFO     | quartofetch.cli:_log_results:114                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:48:31 | SUCCESS  | quartofetch.cli:_log_results:116                | ✅ All papers processed successfully (2/2)
2024-11-02 22:48:31 | INFO     | quartofetch.cli:_log_results:127                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:49:18 | INFO     | quartofetch.cli:run:140 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:49:18 | SUCCESS  | quartofetch.cli:run:141 | 🚀 Quarto FETCH
2024-11-02 22:49:18 | INFO     | quartofetch.cli:run:142 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:49:18 | INFO     | quartofetch.logging_config:wrapper:82 | ═════════════════════════ STAGE: Configuration Loading ═════════════════════════
2024-11-02 22:49:18 | INFO     | quartofetch.logging_config:wrapper:90 | ════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:49:18 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Configuration
2024-11-02 22:49:18 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Processing
2024-11-02 22:49:18 | INFO     | quartofetch.logging_config:wrapper:82  | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:49:18 | INFO     | quartofetch.paper_manager:process:73   | 📑 Processing paper: 2022-03-16_JASAEL-HowToAnalyseQuantitativeSoundscapeData
2024-11-02 22:49:18 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Validation
2024-11-02 22:49:18 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:49:19 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Repository Status Check
2024-11-02 22:49:19 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: a9f5077d891d5a64816dc18844fbf12e2a2b9dae)
2024-11-02 22:49:19 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:49:19 | INFO     | quartofetch.logging_config:wrapper:82           | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:49:19 | INFO     | quartofetch.paper_manager:process:73            | 📑 Processing paper: 2024-10-30_JASA1112_SPI
2024-11-02 22:49:19 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Paper Validation
2024-11-02 22:49:19 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:49:19 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Repository Status Check
2024-11-02 22:49:19 | SUCCESS  | quartofetch.paper_manager:_check_if_updated:131 | ✓ Paper is up to date (commit: 92d7e82ca139a56def4607a35b14ce6dd1202bdb)
2024-11-02 22:49:19 | INFO     | quartofetch.logging_config:wrapper:90           | ═════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:49:19 | INFO     | quartofetch.logging_config:wrapper:107          | ▶ Results Summary
2024-11-02 22:49:19 | INFO     | quartofetch.cli:_log_results:114                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:49:19 | SUCCESS  | quartofetch.cli:_log_results:116                | ✅ All papers processed successfully (2/2)
2024-11-02 22:49:19 | INFO     | quartofetch.cli:_log_results:127                | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:51:48 | INFO     | quartofetch.cli:run:140 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:51:48 | SUCCESS  | quartofetch.cli:run:141 | 🚀 Quarto FETCH
2024-11-02 22:51:48 | INFO     | quartofetch.cli:run:142 | ════════════════════════════════════════════════════════════════════════════════
2024-11-02 22:51:48 | INFO     | quartofetch.logging_config:wrapper:82 | ═════════════════════════ STAGE: Configuration Loading ═════════════════════════
2024-11-02 22:51:48 | INFO     | quartofetch.logging_config:wrapper:90 | ════════════════════════════════════════════════════════════════════════════════

2024-11-02 22:51:48 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Configuration
2024-11-02 22:51:48 | INFO     | quartofetch.logging_config:wrapper:107 | ▶ Paper Processing
2024-11-02 22:51:48 | INFO     | quartofetch.logging_config:wrapper:82  | ════════════════════════════ STAGE: Paper Processing ════════════════════════════
2024-11-02 22:51:48 | INFO     | quartofetch.paper_manager:process:73   | 📑 Processing paper: 2022-03-16_JASAEL-HowToAnalyseQuantitativeSoundscapeData
